date,ticker,sector,headline_count,word_count,finance_term_count,sentiment_model,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score
2020-12-03,AMT,RealEstate,1,7,1,finance_lexicon_baseline,0.0,0.8571428571428572,0.14285714285714285,1.0
2020-12-03,BA,Industrials,17,154,2,finance_lexicon_baseline,0.006493506493506494,0.9415584415584416,0.05194805194805195,0.7777777777777778
2020-12-03,CAT,Industrials,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,CCI,RealEstate,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,COP,Energy,2,12,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,CVX,Energy,4,38,1,finance_lexicon_baseline,0.02631578947368421,0.9736842105263158,0.0,-1.0
2020-12-03,DIS,Consumer,10,85,4,finance_lexicon_baseline,0.0,0.9411764705882353,0.058823529411764705,1.0
2020-12-03,EA,Comm,1,9,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,GE,Industrials,2,14,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,GS,Financials,1,10,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,INTC,Tech,6,48,1,finance_lexicon_baseline,0.0,0.9791666666666666,0.020833333333333332,1.0
2020-12-03,MMM,Industrials,7,64,3,finance_lexicon_baseline,0.0625,0.9375,0.0,-1.0
2020-12-03,MRK,Healthcare,2,20,2,finance_lexicon_baseline,0.0,0.9,0.1,1.0
2020-12-03,NKE,Consumer,2,14,2,finance_lexicon_baseline,0.0,0.8571428571428572,0.14285714285714285,1.0
2020-12-03,NUE,Materials,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,O,RealEstate,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,SBUX,Consumer,2,12,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,T,Comm,7,74,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,UPS,Industrials,3,22,1,finance_lexicon_baseline,0.045454545454545456,0.9545454545454546,0.0,-1.0
