date,sector,sentiment_score,ticker_count,tickers_with_headlines,headline_count,sentiment_lag1
2022-03-31,Materials,0.29492,5,3,4,0.068
2022-03-31,RealEstate,-0.027339999999999996,5,4,6,0.38258000000000003
2022-03-31,Tech,0.5136000000000001,5,5,35,0.4704
2022-03-31,Utilities,0.3202,5,4,6,0.40847999999999995
2022-04-01,Comm,0.04784000000000001,5,3,5,0.35964
2022-04-01,Consumer,0.11308000000000003,5,4,23,0.22113999999999998
2022-04-01,Energy,0.373,5,5,14,-0.07776000000000001
2022-04-01,Financials,0.32216,5,4,29,0.0038599999999999967
2022-04-01,Healthcare,0.37898,5,4,6,0.08326
2022-04-01,Industrials,0.09174000000000002,5,4,11,0.3225
2022-04-01,Materials,0.19083999999999998,5,3,3,0.29492
2022-04-01,RealEstate,0.16784000000000002,5,2,3,-0.027339999999999996
2022-04-01,Tech,0.50652,5,5,42,0.5136000000000001
2022-04-01,Utilities,0.15811999999999998,5,1,3,0.3202
2022-04-04,Comm,0.38514,5,4,16,0.04784000000000001
2022-04-04,Consumer,0.45888,5,5,39,0.11308000000000003
2022-04-04,Energy,0.4236,5,5,26,0.373
2022-04-04,Financials,-0.06198,5,4,24,0.32216
2022-04-04,Healthcare,0.18696000000000002,5,5,20,0.37898
2022-04-04,Industrials,0.37286,5,5,15,0.09174000000000002
2022-04-04,Materials,-0.009839999999999998,5,3,4,0.19083999999999998
2022-04-04,RealEstate,0.20698,5,4,7,0.16784000000000002
2022-04-04,Tech,0.5968600000000001,5,5,57,0.50652
2022-04-04,Utilities,0.11148,5,3,3,0.15811999999999998
2022-04-05,Comm,-0.06336,5,5,12,0.38514
2022-04-05,Consumer,0.07510000000000001,5,5,17,0.45888
2022-04-05,Energy,0.02903999999999999,5,5,16,0.4236
2022-04-05,Financials,0.47750000000000004,5,5,18,-0.06198
2022-04-05,Healthcare,0.4326,5,5,13,0.18696000000000002
2022-04-05,Industrials,0.14548,5,5,17,0.37286
2022-04-05,Materials,0.23388,5,4,8,-0.009839999999999998
2022-04-05,RealEstate,0.30022000000000004,5,4,10,0.20698
2022-04-05,Tech,0.23377999999999996,5,4,37,0.5968600000000001
2022-04-05,Utilities,0.10846,5,2,2,0.11148
2022-04-06,Comm,0.0256,5,2,4,-0.06336
2022-04-06,Consumer,0.27318,5,5,15,0.07510000000000001
2022-04-06,Energy,0.32774000000000003,5,4,11,0.02903999999999999
2022-04-06,Financials,0.32930000000000004,5,4,13,0.47750000000000004
2022-04-06,Healthcare,0.08092,5,3,7,0.4326
2022-04-06,Industrials,0.41966000000000003,5,4,19,0.14548
2022-04-06,Materials,0.25888,5,4,7,0.23388
2022-04-06,RealEstate,0.18169999999999997,5,3,6,0.30022000000000004
2022-04-06,Tech,0.6594800000000001,5,5,33,0.23377999999999996
2022-04-06,Utilities,0.29504,5,3,4,0.10846
2022-04-07,Comm,-0.014080000000000004,5,4,12,0.0256
2022-04-07,Consumer,0.14423999999999998,5,5,29,0.27318
2022-04-07,Energy,0.4326,5,4,17,0.32774000000000003
2022-04-07,Financials,0.21012,5,5,22,0.32930000000000004
2022-04-07,Healthcare,0.15566,5,4,5,0.08092
2022-04-07,Industrials,0.12344,5,4,11,0.41966000000000003
2022-04-07,Materials,0.059199999999999996,5,2,2,0.25888
2022-04-07,RealEstate,0.09008,5,5,6,0.18169999999999997
2022-04-07,Tech,0.58364,5,4,22,0.6594800000000001
2022-04-07,Utilities,0.021799999999999996,5,3,5,0.29504
2022-04-08,Comm,0.17614000000000002,5,2,9,-0.014080000000000004
2022-04-08,Consumer,0.37421999999999994,5,5,17,0.14423999999999998
